id,user_id,location_id,rating,comment,created_at
1,14,25,5,"Super fun and full of activities. Great for groups and kids.",2025-04-06 15:11:00
2,27,50,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-07-11 10:22:00
3,40,79,5,"Large mall with many options and a clean environment.",2023-10-16 17:33:00
4,53,108,5,"Large mall with many options and a clean environment.",2025-01-21 12:44:00
5,66,137,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-04-26 19:55:00
6,79,166,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-07-03 14:06:00
7,92,195,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-10-08 09:17:00
8,5,224,4,"Beautiful spot with interesting features — great for photos.",2024-01-13 16:28:00
9,18,253,4,"Beautiful spot with interesting features — great for photos.",2023-04-18 11:39:00
10,31,282,4,"A memorable place with good facilities and clear signage.",2025-07-23 18:50:00
11,44,7,3,"Super fun and full of activities. Great for groups and kids.",2024-10-28 13:01:00
12,57,29,3,"Good facilities and friendly staff. Plenty to do for a full day.",2023-01-05 08:12:00
13,70,56,4,"Great flavors, though the wait can be long during peak hours.",2025-04-10 15:23:00
14,83,85,4,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2024-07-15 10:34:00
15,96,114,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-10-20 17:45:00
16,9,143,5,"Great flavors, though the wait can be long during peak hours.",2025-01-25 12:56:00
17,22,172,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-04-02 19:07:00
18,35,201,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-07-07 14:18:00
19,48,230,5,"A memorable place with good facilities and clear signage.",2025-10-12 09:29:00
20,61,259,5,"A memorable place with good facilities and clear signage.",2024-01-17 16:40:00
21,74,288,5,"Informative and well-maintained. Worth a visit if you are nearby.",2023-04-22 11:51:00
22,87,13,4,"Good facilities and friendly staff. Plenty to do for a full day.",2025-07-27 18:02:00
23,100,33,4,"Good facilities and friendly staff. Plenty to do for a full day.",2024-10-04 13:13:00
24,13,62,4,"Fresh ingredients and nice presentation. Will come back for more.",2023-01-09 08:24:00
25,26,91,3,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-04-14 15:35:00
26,39,120,3,"Great flavors, though the wait can be long during peak hours.",2024-07-19 10:46:00
27,52,149,3,"Tasty dishes with good balance. A pleasant dining experience.",2023-10-24 17:57:00
28,65,178,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-01-01 12:08:00
29,78,207,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-04-06 19:19:00
30,91,236,5,"A memorable place with good facilities and clear signage.",2023-07-11 14:30:00
31,4,265,5,"A memorable place with good facilities and clear signage.",2025-10-16 09:41:00
32,17,294,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-01-21 16:52:00
33,30,18,5,"Super fun and full of activities. Great for groups and kids.",2023-04-26 11:03:00
34,43,39,5,"Great flavors, though the wait can be long during peak hours.",2025-07-03 18:14:00
35,56,68,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-10-08 13:25:00
36,69,97,4,"Large mall with many options and a clean environment.",2023-01-13 08:36:00
37,82,126,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-04-18 15:47:00
38,95,155,4,"Tasty dishes with good balance. A pleasant dining experience.",2024-07-23 10:58:00
39,8,184,4,"Great flavors, though the wait can be long during peak hours.",2023-10-28 17:09:00
40,21,213,3,"Beautiful spot with interesting features — great for photos.",2025-01-05 12:20:00
41,34,242,3,"Informative and well-maintained. Worth a visit if you are nearby.",2024-04-10 19:31:00
42,47,271,4,"A memorable place with good facilities and clear signage.",2023-07-15 14:42:00
43,60,300,5,"Beautiful spot with interesting features — great for photos.",2025-10-20 09:53:00
44,73,22,5,"Super fun and full of activities. Great for groups and kids.",2024-01-25 16:04:00
45,86,45,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-04-02 11:15:00
46,99,74,5,"Large mall with many options and a clean environment.",2025-07-07 18:26:00
47,12,103,5,"Large mall with many options and a clean environment.",2024-10-12 13:37:00
48,25,132,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2023-01-17 08:48:00
49,38,161,5,"Tasty dishes with good balance. A pleasant dining experience.",2025-04-22 15:59:00
50,51,190,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-07-27 10:10:00
51,64,219,4,"A memorable place with good facilities and clear signage.",2023-10-04 17:21:00
52,77,248,4,"Beautiful spot with interesting features — great for photos.",2025-01-09 12:32:00
53,90,277,4,"Beautiful spot with interesting features — great for photos.",2024-04-14 19:43:00
54,3,2,3,"Super fun and full of activities. Great for groups and kids.",2023-07-19 14:54:00
55,16,26,3,"A lively place with many attractions. Expect crowds on weekends.",2025-10-24 09:05:00
56,29,51,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2024-01-01 16:16:00
57,42,80,4,"Large mall with many options and a clean environment.",2023-04-06 11:27:00
58,55,109,5,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2025-07-11 18:38:00
59,68,138,5,"Tasty dishes with good balance. A pleasant dining experience.",2024-10-16 13:49:00
60,81,167,5,"Tasty dishes with good balance. A pleasant dining experience.",2023-01-21 08:00:00
61,94,196,5,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-04-26 15:11:00
62,7,225,5,"Informative and well-maintained. Worth a visit if you are nearby.",2024-07-03 10:22:00
63,20,254,5,"Informative and well-maintained. Worth a visit if you are nearby.",2023-10-08 17:33:00
64,33,283,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-01-13 12:44:00
65,46,8,4,"Super fun and full of activities. Great for groups and kids.",2024-04-18 19:55:00
66,59,30,4,"A lively place with many attractions. Expect crowds on weekends.",2023-07-23 14:06:00
67,72,57,4,"Fresh ingredients and nice presentation. Will come back for more.",2025-10-28 09:17:00
68,85,86,3,"Good variety of stores and eateries. Busy on weekends but overall pleasant.",2024-01-05 16:28:00
69,98,115,3,"Great flavors, though the wait can be long during peak hours.",2023-04-10 11:39:00
70,11,144,4,"Delicious and well-seasoned. Portions are generous and service is friendly.",2025-07-15 18:50:00
71,24,173,4,"Great flavors, though the wait can be long during peak hours.",2024-10-20 13:01:00
72,37,202,5,"Fresh ingredients and nice presentation. Will come back for more.",2023-01-25 08:12:00
73,50,231,5,"Informative and well-maintained. Worth a visit if you are nearby.",2025-04-02 15:23:00
