name,tag,avg_cost,description,lat,lon,address,opening_hours,image_url1,image_url2,rating,reviews,extra_website
Cơm Niêu Sài Gòn,vietnamese,400000,"Cơm gia đình Việt Nam, có đầy đủ các món ",10.782404191275129,106.68793199946889,27 Tú Xương Phường Võ Thị Sáu Quận 3,6:00-23:30,https://lh3.googleusercontent.com/p/AF1QipNdajAL_oRbp7020-TZmF741E5qfSbmSgCc8_3P=w408-h271-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSw19MsZ0aBND4DyoTO37L5bo05TYbwkiaXYRh88fPLGzYCmh8XUdg2fshYtKbUp9oxhhwu4zHgJxhMSw3lgGf84qsEp1Ym110tIL8wIjDYc8I2-9BU-wOI4J1XZRnVFq9qz-lcCpaKD-De-=w224-h398-k-no,4.2,3049,
Sushi Hokkaido Sachi,japanese,800000,Đồ nhật bản cao cấp,10.769315627415267,106.69039708259889,139 A-B Nguyễn Trãi Phường Phạm Ngũ Lão Quận 1,10:30-23:00,https://lh3.googleusercontent.com/p/AF1QipPXUjSoWgjYLgSnA_Qy8ish2IIitDRLFW-53Pvh=w408-h446-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyZuFSNxqxsRyPD22CjpX5FQxk53KorIwOXIRkO08TPCPaU8hp1GcrhP6X7Vv9_uAJo03YpOp8Af1AVGMpgrK0rqwwDWDr5P26nU6qNkCNbgZCP1tZB07lFTyITLHibGt3oGlsE=w224-h224-p-k-no,4.4,2176,
Ẩm thực quê nhà,vietnamese,300000,"offers a diverse menu, delicious and unique dishes thanks to the combination of pure Vietnamese flavors and the restaurant's very own personality.",10.769409366628055,106.66623570958332,05 Thành Thái Phường 14 Quận 10,9:00-23:00,https://lh3.googleusercontent.com/p/AF1QipPr8HMRzD_-RCnpBz91y99SNZG8XW1CqTttJGmR=w408-h262-k-no,https://cdn.pastaxi-manager.onepas.vn/content/uploads/articles/lent/amthucquenhathanhthai/nha-hang-am-thuc-que-nha-thanh-thai-1.jpg,4.1,994,
Ghiền bánh canh,vietnamese,80000,many kinds of Vietnamese noodle soup,10.773218021415483,106.67899316540361,460 Điện Biên Phủ Phường 10 Quận 10,6:00-22:00,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzygg2epKL-uPps0i6gEzg6fdyDf5uVuCb2ztE1mAlHDKPQjwG4XJa_XApzB_wXfSzr6U5HaJapDctB-NiJPBzkC8zjqggATVE806K0LNxqubWadYlHeicw7DxjG1NZt-XWDy3onQ=w408-h544-k-no,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx13AwrdiNUUftgKJR0AsN6Ku0UiJvI6bHEn6dQQIBExZcGtxFFBhJhNLavdLXu031R7kfiTdTxU-ptokGsAgytiOKQOAtuuoEo1qV2XUEK43xhpAgLM_Y9RDd-tIUAxMz6ulMZYA5mKZEV=w224-h224-p-k-no,4.2,142,
Quán bánh canh ghẹ muối ớt xanh,vietnamese,150000,The highlight of this restaurant is homemade noodle soup and fresh seafood imported from Phu Quoc.,10.773061236859517,106.67901047589744,484 Nguyễn Tri Phương phường 9 quận 10,9:00-22:30,https://lh3.googleusercontent.com/p/AF1QipMEs6uzw6FeEbmTe2vObL36FUrQ-dgVFBOBnrv0=w408-h543-k-no,https://cdn.pastaxi-manager.onepas.vn/content/uploads/articles/S%C3%A1ng%20%20Mkt/%E1%BA%A2nh%20%C4%91%C4%83ng%20T11-2023/Qu%C3%A1n%20%C4%83n%20ngon%20S%C3%A0i%20G%C3%B2n/quan-an-ngon-Sai-Gon-banh-canh-ghe-muoi-ot.jpg,3.8,1002,
Hoàng’s Kitchen,fine-dining,150000,Modern Vietnamese & vegan-friendly dishes in a stylish space,10.774076242461827,106.69833326725515,122 Lê Thánh Tôn Phường Bến Thành Quận 1,10:00-23:00,https://hoangskitchen.com/wp-content/uploads/2024/07/1-1024x740.png,https://hoangskitchen.com/wp-content/uploads/2024/07/6.png,5,2684,
Bếp Mẹ Ỉn,vietnamese,150000,Traditional home-style Vietnamese food with a lively ambience,10.774120182139601,106.69805833841924,136/9 Lê Thánh Tôn P. Bến Thành,10:30-23:00,https://lh3.googleusercontent.com/p/AF1QipN5picsSeIMc0GZJ9i837fQgWDhd8wYYeUdHjqy=w408-h306-k-no,https://lh3.googleusercontent.com/p/AF1QipNHinQsR9QmQM343bma1QdqUm5q0Ag45oMp66BV=w224-h224-p-k-no,4.5,9286,
Den Long,vietnamese,100000,Rooftop Vietnamese restaurant with lanterns and a view,10.770023545163822,106.6907059519115,"130 Nguyễn Trãi, P. Bến Thành, Q1",11:00-22:00,https://static.wixstatic.com/media/4013cc_6f5cefe05f414620b4de152e2e6f3d73~mv2.jpg/v1/fill/w_640%2Ch_650%2Cal_c%2Cq_85%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/4013cc_6f5cefe05f414620b4de152e2e6f3d73~mv2.jpg,https://static.wixstatic.com/media/4013cc_27dbf4e977bb495888ce09a67411a88e~mv2.jpg/v1/crop/x_180%2Cy_0%2Cw_1080%2Ch_1080/fill/w_320%2Ch_320%2Cal_c%2Cq_80%2Cusm_0.66_1.00_0.01%2Cenc_avif%2Cquality_auto/IMG_2783_JPG.jpg,4.6,3033,
Cloud Nine Restaurant Sai Gon,fine-dining,1000000,"Fine dining on 11th floor, mixing international & local flavours",10.773526021080986,106.6956890249272,180-188 Lý Tự Trọng P. Bến Thành Q1,6:00-22:15,https://lasiestahotels.com/saigon/wp-content/uploads/2023/06/CNR_BREAKFAST_4-2000.jpg,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/2e/21/76/d2/dining.jpg?h=500&s=1&w=900,4.9,400,
Cơm Tấm Ba Ghiền,vietnamese,80000,"Classic Saigon broken rice shop, local staple",10.794758359006101,106.66926333656785,84 Đặng Văn Ngữ,6:00-22:00,https://cdn2.tuoitre.vn/thumb_w/1200/471584752817336320/2023/6/7/com-tam-ba-ghien-1-16861496112601460952627-9-0-1056-2000-crop-1686150543059264631767.jpg,https://mia.vn/media/uploads/blog-du-lich/com-tam-ba-ghien-13-1729128577.jpg,3.9,733,
